PO_ID,OrderDate,ExpectedDelivery,ActualDelivery,SKU,ItemName,Supplier,Category,Warehouse,OrderQuantity,UnitCostUSD,TotalOrderValueUSD,LeadTimeDays,DeliveryDelayDays,OrderStatus,PaymentStatus,Buyer
PO-0134,29-04-2026,12-05-2026,17-05-2026,SKU-1012,Plastic Resin Pellets,Orion Logistics Supply,Raw Materials,Warehouse B - Central,311,6.54,2033.94,13,5,Delayed,Pending,Rahul Verma
PO-0135,20-05-2026,30-05-2026,29-05-2026,SKU-1030,Whiteboard Markers Pack,Vertex Parts & Tools,Office Supplies,Warehouse C - South,502,7.84,3935.68,10,-1,Delivered,Paid,Emily Chen
PO-0136,06-03-2026,25-03-2026,27-03-2026,SKU-1031,Industrial Cleaning Solvent,Meridian Components Co.,Chemicals,Warehouse B - Central,253,18.25,4617.25,19,2,Delivered,Pending,Emily Chen
PO-0137,02-04-2026,16-04-2026,18-04-2026,SKU-1026,Gearbox Unit,Meridian Components Co.,Spare Parts,Warehouse B - Central,72,276.07,19877.04,14,2,Delivered,Pending,Alex Johnson
PO-0138,10-07-2026,30-07-2026,01-08-2026,SKU-1028,A4 Paper Ream,Pinnacle Packaging Group,Office Supplies,Warehouse C - South,844,6.23,5258.12,20,2,Delivered,Paid,Priya Sharma
PO-0139,18-02-2026,03-03-2026,03-03-2026,SKU-1029,Binder Clips Box,Atlas Raw Materials,Office Supplies,Warehouse C - South,693,2.18,1510.74,13,0,Delivered,Paid,Rahul Verma
PO-0140,23-04-2026,29-04-2026,06-05-2026,SKU-1034,Adhesive Resin Drum,Nova Industrial Supply,Chemicals,Warehouse A - North,423,382.25,161691.75,6,7,Delayed,Pending,Rahul Verma
PO-0141,11-07-2026,29-07-2026,29-07-2026,SKU-1015,Corrugated Boxes (M),Nova Industrial Supply,Packaging,Warehouse C - South,255,3.45,879.75,18,0,Delivered,Paid,Rahul Verma
PO-0142,09-05-2026,22-05-2026,22-05-2026,SKU-1024,Motor Coupling,BlueRiver Chemicals,Spare Parts,Warehouse B - Central,313,145.33,45488.29,13,0,Delivered,Paid,Rahul Verma
PO-0143,30-01-2026,18-02-2026,17-02-2026,SKU-1034,Adhesive Resin Drum,Pinnacle Packaging Group,Chemicals,Warehouse C - South,194,382.25,74156.5,19,-1,Delivered,Paid,Emily Chen
PO-0144,23-05-2026,08-06-2026,07-06-2026,SKU-1034,Adhesive Resin Drum,Meridian Components Co.,Chemicals,Warehouse A - North,859,382.25,328352.75,16,-1,Delivered,Paid,Alex Johnson
PO-0145,05-04-2026,18-04-2026,25-04-2026,SKU-1019,Bubble Cushioning Roll,Vertex Parts & Tools,Packaging,Warehouse A - North,440,28.64,12601.6,13,7,Delayed,Pending,Priya Sharma
PO-0146,07-01-2026,22-01-2026,29-01-2026,SKU-1023,Bearing Assembly,Atlas Raw Materials,Spare Parts,Warehouse C - South,276,61.75,17043,15,7,Delayed,Pending,Emily Chen
PO-0147,19-03-2026,06-04-2026,05-04-2026,SKU-1031,Industrial Cleaning Solvent,Orion Logistics Supply,Chemicals,Warehouse A - North,193,18.25,3522.25,18,-1,Delivered,Paid,Emily Chen
PO-0148,25-01-2026,06-02-2026,12-02-2026,SKU-1004,Microcontroller Kit,Meridian Components Co.,Electronics,Warehouse B - Central,188,199.36,37479.68,12,6,Delayed,Pending,Rahul Verma
PO-0149,10-07-2026,28-07-2026,04-08-2026,SKU-1030,Whiteboard Markers Pack,Nova Industrial Supply,Office Supplies,Warehouse B - Central,810,7.84,6350.4,18,7,Delayed,Pending,Alex Johnson
PO-0150,07-06-2026,25-06-2026,27-06-2026,SKU-1023,Bearing Assembly,Vertex Parts & Tools,Spare Parts,Warehouse A - North,83,61.75,5125.25,18,2,Delivered,Paid,Priya Sharma
PO-0151,26-01-2026,11-02-2026,17-02-2026,SKU-1016,Corrugated Boxes (L),Vertex Parts & Tools,Packaging,Warehouse A - North,973,5.18,5040.14,16,6,Delayed,Pending,Emily Chen
PO-0152,18-02-2026,26-02-2026,03-03-2026,SKU-1013,Rubber Sheet Roll,Pinnacle Packaging Group,Raw Materials,Warehouse C - South,143,271.48,38821.64,8,5,Delayed,Pending,Alex Johnson
PO-0153,21-07-2026,05-08-2026,06-08-2026,SKU-1002,Power Supply Unit,Pinnacle Packaging Group,Electronics,Warehouse A - North,178,202.07,35968.46,15,1,In Transit,Pending,Priya Sharma
PO-0154,25-02-2026,09-03-2026,12-03-2026,SKU-1026,Gearbox Unit,Nova Industrial Supply,Spare Parts,Warehouse C - South,842,276.07,232450.94,12,3,Delayed,Pending,Alex Johnson
PO-0155,07-02-2026,16-02-2026,22-02-2026,SKU-1013,Rubber Sheet Roll,Nova Industrial Supply,Raw Materials,Warehouse A - North,306,271.48,83072.88,9,6,Delayed,Pending,Alex Johnson
PO-0156,04-01-2026,20-01-2026,21-01-2026,SKU-1005,LCD Display Panel,Vertex Parts & Tools,Electronics,Warehouse A - North,652,126.62,82556.24,16,1,Delivered,Pending,Alex Johnson
PO-0157,09-07-2026,27-07-2026,02-08-2026,SKU-1005,LCD Display Panel,Atlas Raw Materials,Electronics,Warehouse B - Central,166,126.62,21018.92,18,6,Delayed,Pending,Emily Chen
PO-0158,03-04-2026,24-04-2026,01-05-2026,SKU-1033,Coolant Fluid Container,BlueRiver Chemicals,Chemicals,Warehouse C - South,161,24.18,3892.98,21,7,Delayed,Pending,Priya Sharma
PO-0159,12-01-2026,02-02-2026,04-02-2026,SKU-1028,A4 Paper Ream,Orion Logistics Supply,Office Supplies,Warehouse A - North,519,6.23,3233.37,21,2,Delivered,Paid,Emily Chen
PO-0160,25-06-2026,03-07-2026,08-07-2026,SKU-1018,Pallet Wrap,BlueRiver Chemicals,Packaging,Warehouse A - North,779,35.22,27436.38,8,5,Delayed,Pending,Alex Johnson
PO-0161,05-06-2026,14-06-2026,13-06-2026,SKU-1015,Corrugated Boxes (M),Summit Electronics Ltd.,Packaging,Warehouse C - South,179,3.45,617.55,9,-1,Delivered,Paid,Rahul Verma
PO-0162,02-06-2026,23-06-2026,25-06-2026,SKU-1017,Shrink Wrap Roll,Meridian Components Co.,Packaging,Warehouse A - North,514,42.13,21654.82,21,2,Delivered,Paid,Alex Johnson
PO-0163,16-06-2026,27-06-2026,01-07-2026,SKU-1029,Binder Clips Box,Pinnacle Packaging Group,Office Supplies,Warehouse B - Central,512,2.18,1116.16,11,4,Delayed,Pending,Rahul Verma
PO-0164,13-04-2026,01-05-2026,30-04-2026,SKU-1019,Bubble Cushioning Roll,Meridian Components Co.,Packaging,Warehouse B - Central,370,28.64,10596.8,18,-1,Delivered,Paid,Rahul Verma
PO-0165,25-06-2026,15-07-2026,14-07-2026,SKU-1005,LCD Display Panel,Atlas Raw Materials,Electronics,Warehouse A - North,143,126.62,18106.66,20,-1,Delivered,Paid,Rahul Verma
PO-0166,03-02-2026,09-02-2026,16-02-2026,SKU-1034,Adhesive Resin Drum,Vertex Parts & Tools,Chemicals,Warehouse C - South,625,382.25,238906.25,6,7,Delayed,Pending,Alex Johnson
PO-0167,01-04-2026,19-04-2026,17-04-2026,SKU-1018,Pallet Wrap,Summit Electronics Ltd.,Packaging,Warehouse B - Central,344,35.22,12115.68,18,-2,Delivered,Pending,Priya Sharma
PO-0168,18-06-2026,08-07-2026,09-07-2026,SKU-1005,LCD Display Panel,Atlas Raw Materials,Electronics,Warehouse B - Central,917,126.62,116110.54,20,1,Delivered,Paid,Rahul Verma
PO-0169,15-07-2026,28-07-2026,04-08-2026,SKU-1004,Microcontroller Kit,Meridian Components Co.,Electronics,Warehouse C - South,281,199.36,56020.16,13,7,Delayed,Pending,Alex Johnson
PO-0170,18-06-2026,01-07-2026,29-06-2026,SKU-1028,A4 Paper Ream,Summit Electronics Ltd.,Office Supplies,Warehouse C - South,234,6.23,1457.82,13,-2,Delivered,Paid,Rahul Verma
PO-0171,02-01-2026,12-01-2026,12-01-2026,SKU-1016,Corrugated Boxes (L),Meridian Components Co.,Packaging,Warehouse A - North,629,5.18,3258.22,10,0,Delivered,Pending,Alex Johnson
PO-0172,11-07-2026,01-08-2026,02-08-2026,SKU-1003,Sensor Array,Meridian Components Co.,Electronics,Warehouse B - Central,435,8.72,3793.2,21,1,Delivered,Paid,Rahul Verma
PO-0173,04-07-2026,19-07-2026,26-07-2026,SKU-1014,Industrial Adhesive Drum,Atlas Raw Materials,Raw Materials,Warehouse A - North,660,152.52,100663.2,15,7,Delayed,Pending,Priya Sharma
PO-0174,13-07-2026,19-07-2026,18-07-2026,SKU-1010,Aluminum Bar Stock,BlueRiver Chemicals,Raw Materials,Warehouse C - South,328,173.92,57045.76,6,-1,Delivered,Paid,Emily Chen
PO-0175,11-03-2026,22-03-2026,28-03-2026,SKU-1018,Pallet Wrap,Vertex Parts & Tools,Packaging,Warehouse B - Central,166,35.22,5846.52,11,6,Delayed,Pending,Alex Johnson
PO-0176,23-06-2026,13-07-2026,19-07-2026,SKU-1014,Industrial Adhesive Drum,Summit Electronics Ltd.,Raw Materials,Warehouse A - North,733,152.52,111797.16,20,6,Delayed,Pending,Priya Sharma
PO-0177,03-06-2026,09-06-2026,07-06-2026,SKU-1017,Shrink Wrap Roll,Summit Electronics Ltd.,Packaging,Warehouse A - North,259,42.13,10911.67,6,-2,Delivered,Paid,Rahul Verma
PO-0178,25-03-2026,02-04-2026,31-03-2026,SKU-1014,Industrial Adhesive Drum,Meridian Components Co.,Raw Materials,Warehouse A - North,559,152.52,85258.68,8,-2,Delivered,Pending,Priya Sharma
PO-0179,24-05-2026,09-06-2026,08-06-2026,SKU-1024,Motor Coupling,Orion Logistics Supply,Spare Parts,Warehouse B - Central,456,145.33,66270.48,16,-1,Delivered,Pending,Alex Johnson
PO-0180,28-05-2026,15-06-2026,22-06-2026,SKU-1015,Corrugated Boxes (M),Meridian Components Co.,Packaging,Warehouse B - Central,464,3.45,1600.8,18,7,Delayed,Pending,Alex Johnson
PO-0181,06-01-2026,21-01-2026,21-01-2026,SKU-1017,Shrink Wrap Roll,BlueRiver Chemicals,Packaging,Warehouse C - South,870,42.13,36653.1,15,0,Delivered,Paid,Alex Johnson
PO-0182,28-01-2026,09-02-2026,13-02-2026,SKU-1018,Pallet Wrap,Meridian Components Co.,Packaging,Warehouse C - South,653,35.22,22998.66,12,4,Delayed,Pending,Alex Johnson
PO-0183,21-03-2026,05-04-2026,06-04-2026,SKU-1017,Shrink Wrap Roll,Nova Industrial Supply,Packaging,Warehouse A - North,391,42.13,16472.83,15,1,Delivered,Paid,Alex Johnson
PO-0184,11-05-2026,22-05-2026,25-05-2026,SKU-1024,Motor Coupling,Nova Industrial Supply,Spare Parts,Warehouse A - North,409,145.33,59439.97,11,3,Delayed,Pending,Alex Johnson
PO-0185,07-03-2026,18-03-2026,18-03-2026,SKU-1005,LCD Display Panel,Nova Industrial Supply,Electronics,Warehouse C - South,666,126.62,84328.92,11,0,Delivered,Pending,Emily Chen
PO-0186,13-07-2026,01-08-2026,08-08-2026,SKU-1019,Bubble Cushioning Roll,Vertex Parts & Tools,Packaging,Warehouse C - South,708,28.64,20277.12,19,7,In Transit,Pending,Rahul Verma
PO-0187,23-04-2026,30-04-2026,05-05-2026,SKU-1005,LCD Display Panel,Summit Electronics Ltd.,Electronics,Warehouse B - Central,502,126.62,63563.24,7,5,Delayed,Pending,Alex Johnson
PO-0188,10-05-2026,17-05-2026,19-05-2026,SKU-1016,Corrugated Boxes (L),BlueRiver Chemicals,Packaging,Warehouse A - North,522,5.18,2703.96,7,2,Delivered,Pending,Rahul Verma
PO-0189,15-06-2026,22-06-2026,29-06-2026,SKU-1003,Sensor Array,Meridian Components Co.,Electronics,Warehouse B - Central,658,8.72,5737.76,7,7,Delayed,Pending,Alex Johnson
PO-0190,27-07-2026,07-08-2026,10-08-2026,SKU-1019,Bubble Cushioning Roll,BlueRiver Chemicals,Packaging,Warehouse C - South,669,28.64,19160.16,11,3,In Transit,Pending,Priya Sharma
PO-0191,26-04-2026,04-05-2026,07-05-2026,SKU-1002,Power Supply Unit,Atlas Raw Materials,Electronics,Warehouse C - South,781,202.07,157816.67,8,3,Delayed,Pending,Priya Sharma
PO-0192,05-03-2026,24-03-2026,29-03-2026,SKU-1002,Power Supply Unit,Nova Industrial Supply,Electronics,Warehouse B - Central,586,202.07,118413.02,19,5,Delayed,Pending,Rahul Verma
PO-0193,10-04-2026,28-04-2026,01-05-2026,SKU-1014,Industrial Adhesive Drum,Orion Logistics Supply,Raw Materials,Warehouse C - South,745,152.52,113627.4,18,3,Delayed,Pending,Rahul Verma
PO-0194,26-03-2026,03-04-2026,09-04-2026,SKU-1003,Sensor Array,Meridian Components Co.,Electronics,Warehouse B - Central,744,8.72,6487.68,8,6,Delayed,Pending,Rahul Verma
PO-0195,18-06-2026,27-06-2026,30-06-2026,SKU-1032,Lubricant Drum,Nova Industrial Supply,Chemicals,Warehouse B - Central,133,129.4,17210.2,9,3,Delayed,Pending,Rahul Verma
PO-0196,28-06-2026,15-07-2026,15-07-2026,SKU-1029,Binder Clips Box,Atlas Raw Materials,Office Supplies,Warehouse B - Central,659,2.18,1436.62,17,0,Delivered,Paid,Rahul Verma
PO-0197,21-06-2026,12-07-2026,11-07-2026,SKU-1005,LCD Display Panel,Meridian Components Co.,Electronics,Warehouse C - South,711,126.62,90026.82,21,-1,Delivered,Paid,Rahul Verma
PO-0198,16-02-2026,27-02-2026,02-03-2026,SKU-1014,Industrial Adhesive Drum,BlueRiver Chemicals,Raw Materials,Warehouse A - North,834,152.52,127201.68,11,3,Delayed,Pending,Priya Sharma
PO-0199,09-02-2026,16-02-2026,18-02-2026,SKU-1005,LCD Display Panel,Atlas Raw Materials,Electronics,Warehouse C - South,914,126.62,115730.68,7,2,Delivered,Paid,Alex Johnson
PO-0200,28-03-2026,06-04-2026,13-04-2026,SKU-1030,Whiteboard Markers Pack,Nova Industrial Supply,Office Supplies,Warehouse A - North,435,7.84,3410.4,9,7,Delayed,Pending,Priya Sharma
